Mobile_Name,Mobile_Price,Rating,Image_URL
"Redmi Note 10 (Shadow Black, 4GB RAM, 64GB Storage) - Super Amoled Display | 48MP Sony Sensor IMX582 | Snapdragon 678 Processor","₹10,999",4.5 out of 5 stars,https://m.media-amazon.com/images/I/71IqJQM2stL._AC_UL320_.jpg
"Redmi Note 10 (Shadow Black, 6GB RAM, 128GB Storage) - Super Amoled Display | 48MP Sony Sensor IMX582 | Snapdragon 678 Processor","₹14,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71IqJQM2stL._AC_UL320_.jpg
"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","₹10,499",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71yYaNztZ0L._AC_UL320_.jpg
"Redmi Note 10 Pro Max (Glacial Blue, 6GB RAM, 128GB Storage) -108MP Quad Camera|120Hz Super Amoled Display |ICICI Cashback 1500 Off","₹13,999",4.0 out of 5 stars,https://m.media-amazon.com/images/I/719iIpuMQbL._AC_UL320_.jpg
"Redmi Note 10 Pro Max (Dark Night, 6GB RAM, 128GB Storage) -108MP Quad Camera|120Hz Super Amoled Display |ICICI Cashback 1500 Off","₹11,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71KpSRjGKzL._AC_UL320_.jpg
"Redmi Note 10 (Frost White, 6GB RAM, 128GB Storage) - Super Amoled Display | 48MP Sony Sensor IMX582 | Snapdragon 678 Processor","₹15,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71yNlZ4dVZL._AC_UL320_.jpg
"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display","₹12,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71X5I1cVfbL._AC_UL320_.jpg
"Redmi Note 10 Pro Max (Vintage Bronze, 6GB RAM, 128GB Storage) -108MP Quad Camera|120Hz Super Amoled Display |ICICI Cashback 1500 Off","₹16,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71i5BHw4RYL._AC_UL320_.jpg
"Redmi Note 9 (Aqua Green, 4GB RAM, 64GB Storage) - 48MP Quad Camera & Full HD+ Display","₹10,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71X5I1cVfbL._AC_UL320_.jpg
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","₹12,990",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71-Su4Wr0HL._AC_UL320_.jpg
"Samsung Galaxy M12 (Black,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","₹10,499",3.8 out of 5 stars,https://m.media-amazon.com/images/I/714QWDxXgNL._AC_UL320_.jpg
"Redmi 9 Power (Blazing Blue, 4GB RAM, 64GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera","₹13,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71hEzQGO5qL._AC_UL320_.jpg
"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","₹10,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71yYaNztZ0L._AC_UL320_.jpg
"Redmi Note 10 (Aqua Green, 6GB RAM, 128GB Storage) - Super Amoled Display | 48MP Sony Sensor IMX582 | Snapdragon 678 Processor","₹12,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71Kmfs0T0BL._AC_UL320_.jpg
"Redmi Note 9 Pro Max (Interstellar Black, 6GB RAM, 64GB Storage) - 64MP Quad Camera & Alexa Hands-Free","₹10,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71usqWEJleL._AC_UL320_.jpg
"Redmi Note 9 Shadow Black, 4GB RAM, 64GB Storage","₹12,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71X5I1cVfbL._AC_UL320_.jpg
"Redmi Note 9 (Arctic White, 4GB RAM, 64GB Storage) - 48MP Quad Camera & Full HD+ Display","₹11,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71X5I1cVfbL._AC_UL320_.jpg
Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery |FHD+ Screen | 48MP Quad Camera,"₹11,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71hEzQGO5qL._AC_UL320_.jpg
"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹13,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71KCwNV6MuL._AC_UL320_.jpg
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free","₹10,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81fwKtv0VHL._AC_UL320_.jpg
"OPPO A31 (Mystery Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","₹12,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71KCwNV6MuL._AC_UL320_.jpg
"Redmi 9 Power (Electric Green, 4GB RAM, 64GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera","₹19,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71hEzQGO5qL._AC_UL320_.jpg
"OPPO A31 (Lake Green, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","₹19,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71AHtKejSlL._AC_UL320_.jpg
"OPPO A31 (Fantasy White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","₹13,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61IhTtJUXJL._AC_UL320_.jpg
"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹10,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61IhTtJUXJL._AC_UL320_.jpg
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 128GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free","₹14,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81fwKtv0VHL._AC_UL320_.jpg
"Samsung Galaxy M31s (Mirage Blue, 6GB RAM, 128GB Storage)","₹19,999",4.3 out of 5 stars,https://m.media-amazon.com/images/I/61d-phh4GfL._AC_UL320_.jpg
"Samsung Galaxy M12 (Black,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","₹10,999",3.8 out of 5 stars,https://m.media-amazon.com/images/I/714QWDxXgNL._AC_UL320_.jpg
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","₹14,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71dujTTJDZL._AC_UL320_.jpg
"Redmi Note 10 (Aqua Green, 4GB RAM, 64GB Storage) - Super Amoled Display | 48MP Sony Sensor IMX582 | Snapdragon 678 Processor","₹16,499",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71Kmfs0T0BL._AC_UL320_.jpg
"Samsung Galaxy M31 (Iceberg Blue, 6GB RAM, 128GB Storage)","₹19,999",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71ZsMOcpePL._AC_UL320_.jpg
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)","₹10,999",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71BFG8Zu7zL._AC_UL320_.jpg
"Samsung Galaxy M12 (White,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","₹12,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71PVpFc7FwL._AC_UL320_.jpg
"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)","₹10,499",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71QLvGIAq5L._AC_UL320_.jpg
"Samsung Galaxy M21 (Raven Black, 6GB RAM, 128GB Storage)","₹13,999",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71QLvGIAq5L._AC_UL320_.jpg
"Redmi Note 10 Pro (Vintage Bronze, 6GB RAM, 128GB Storage) -120Hz Super Amoled Display | 64MP Camera with 5MP Super Tele-Macro | ICICI Cashback 1000 Off","₹13,499",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71QlPGLia-L._AC_UL320_.jpg
"Redmi 9 Power (Mighty Black, 6GB RAM, 128GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera | Snapdragon 662 Processor","₹15,499",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61LHaUOhehL._AC_UL320_.jpg
